station,time,count
活大,09:00,10
活大,09:30,9
活大,10:00,12
活大,10:30,4
活大,11:00,9
活大,11:30,9
活大,12:00,41
活大,12:30,21
活大,13:00,24
活大,13:30,16
活大,14:00,22
活大,14:30,15
活大,15:00,41
活大,15:30,15
活大,16:00,9
活大,16:30,14
活大,17:00,7
活大,17:30,36
活大,18:00,23
活大,18:30,33
大一女,09:00,6
大一女,09:30,6
大一女,10:00,15
大一女,10:30,4
大一女,11:00,7
大一女,11:30,5
大一女,12:00,21
大一女,12:30,13
大一女,13:00,20
大一女,13:30,15
大一女,14:00,11
大一女,14:30,11
大一女,15:00,13
大一女,15:30,4
大一女,16:00,2
大一女,16:30,1
大一女,17:00,18
大一女,17:30,9
大一女,18:00,7
大一女,18:30,19
新社科院,09:00,1
新社科院,09:30,1
新社科院,10:00,4
新社科院,10:30,3
新社科院,11:00,9
新社科院,12:00,14
新社科院,12:30,12
新社科院,13:00,11
新社科院,13:30,7
新社科院,14:00,9
新社科院,14:30,6
新社科院,15:00,26
新社科院,15:30,7
新社科院,16:00,3
新社科院,16:30,8
新社科院,17:00,4
新社科院,17:30,13
新社科院,18:00,4
新社科院,18:30,11
共同,09:00,4
共同,09:30,1
共同,10:00,27
共同,10:30,3
共同,11:00,3
共同,11:30,1
共同,12:00,14
共同,12:30,11
共同,13:00,18
共同,13:30,1
共同,14:00,8
共同,14:30,4
共同,15:00,23
共同,15:30,3
共同,16:00,4
共同,16:30,1
共同,17:00,8
共同,17:30,1
共同,18:00,10
共同,18:30,6
男一舍,09:00,8
男一舍,09:30,8
男一舍,10:00,13
男一舍,10:30,5
男一舍,11:00,7
男一舍,11:30,6
男一舍,12:00,14
男一舍,12:30,17
男一舍,13:00,26
男一舍,13:30,20
男一舍,14:00,18
男一舍,14:30,7
男一舍,15:00,14
男一舍,15:30,10
男一舍,16:00,4
男一舍,16:30,7
男一舍,17:00,7
男一舍,17:30,12
男一舍,18:00,10
男一舍,18:30,12
醫學院,09:00,3
醫學院,09:30,2
醫學院,10:00,26
醫學院,10:30,24
醫學院,11:00,42
醫學院,11:30,16
醫學院,12:00,31
醫學院,12:30,25
醫學院,13:00,9
醫學院,13:30,1
醫學院,14:00,6
醫學院,14:30,1
醫學院,15:00,22
醫學院,15:30,15
醫學院,16:00,6
醫學院,16:30,6
醫學院,17:00,8
醫學院,17:30,24
醫學院,18:00,22
醫學院,18:30,9
新生,09:00,7
新生,09:30,3
新生,10:00,28
新生,10:30,2
新生,11:00,6
新生,11:30,1
新生,12:00,20
新生,12:30,12
新生,13:00,4
新生,13:30,2
新生,14:00,6
新生,14:30,4
新生,15:00,9
新生,15:30,5
新生,16:00,1
新生,17:00,10
新生,17:30,15
新生,18:00,8
新生,18:30,4
新生,19:00,3
公衛大樓,09:00,2
公衛大樓,10:00,3
公衛大樓,10:30,1
公衛大樓,11:00,1
公衛大樓,11:30,1
公衛大樓,12:00,14
公衛大樓,12:30,6
公衛大樓,13:00,7
公衛大樓,13:30,1
公衛大樓,14:00,1
公衛大樓,14:30,2
公衛大樓,15:00,5
公衛大樓,16:00,5
公衛大樓,16:30,4
公衛大樓,17:00,2
公衛大樓,17:30,1
公衛大樓,18:00,4
公衛大樓,18:30,7
水源校區,09:00,2
水源校區,09:30,1
水源校區,10:00,1
水源校區,10:30,1
水源校區,12:00,3
水源校區,12:30,1
水源校區,13:00,4
水源校區,13:30,2
水源校區,14:00,1
水源校區,14:30,4
水源校區,15:00,1
水源校區,15:30,1
水源校區,16:00,2
水源校區,16:30,7
水源校區,17:00,3
水源校區,17:30,2
水源校區,18:00,1
水源校區,18:30,2
二活,09:00,5
二活,09:30,1
二活,10:00,13
二活,10:30,2
二活,11:00,4
二活,11:30,1
二活,12:00,16
二活,12:30,8
二活,13:00,5
二活,13:30,10
二活,14:00,3
二活,14:30,8
二活,15:00,11
二活,15:30,3
二活,16:00,7
二活,16:30,4
二活,17:00,5
二活,17:30,10
二活,18:00,10
二活,18:30,10
普通,09:00,1
普通,09:30,4
普通,10:00,28
普通,10:30,3
普通,11:00,9
普通,11:30,4
普通,12:00,30
普通,12:30,14
普通,13:00,24
普通,13:30,5
普通,14:00,17
普通,14:30,5
普通,15:00,41
普通,15:30,6
普通,16:00,8
普通,16:30,5
普通,17:00,12
普通,17:30,19
普通,18:00,6
普通,18:30,6
法律學院,09:00,4
法律學院,09:30,2
法律學院,10:00,6
法律學院,10:30,2
法律學院,11:00,2
法律學院,11:30,7
法律學院,12:00,18
法律學院,12:30,11
法律學院,13:00,5
法律學院,13:30,6
法律學院,14:00,6
法律學院,14:30,2
法律學院,15:00,9
法律學院,15:30,4
法律學院,16:00,7
法律學院,16:30,5
法律學院,17:00,3
法律學院,17:30,13
法律學院,18:00,8
法律學院,18:30,11
